run,label,password_length,method,success,window_ready_ms,detail,machine,os
1,plain-lower,10,sendinput,True,688,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
2,plain-mixed,10,sendinput,True,693,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
3,digits-symbols-ok,11,sendinput,True,660,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
4,plus,10,sendinput,True,560,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
5,caret,10,sendinput,True,757,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
6,percent,10,sendinput,True,670,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
7,tilde,10,sendinput,True,566,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
8,parens,11,sendinput,True,559,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
9,braces,11,sendinput,True,760,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
10,brackets,11,sendinput,True,650,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
11,all-reserved,19,sendinput,True,668,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
12,moe-style,15,sendinput,True,663,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
13,plain-lower,10,sendinput,True,667,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
14,plain-mixed,10,sendinput,True,651,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
15,digits-symbols-ok,11,sendinput,True,672,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
16,plus,10,sendinput,True,641,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
17,caret,10,sendinput,True,536,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
18,percent,10,sendinput,True,790,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
19,tilde,10,sendinput,True,664,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
20,parens,11,sendinput,True,667,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
21,braces,11,sendinput,True,648,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
22,brackets,11,sendinput,True,769,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
23,all-reserved,19,sendinput,True,646,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
24,moe-style,15,sendinput,True,651,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
25,plain-lower,10,sendinput,True,665,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
26,plain-mixed,10,sendinput,True,642,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
27,digits-symbols-ok,11,sendinput,True,664,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
28,plus,10,sendinput,True,649,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
29,caret,10,sendinput,True,743,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
30,percent,10,sendinput,True,669,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
31,tilde,10,sendinput,True,641,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
32,parens,11,sendinput,True,650,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
33,braces,11,sendinput,True,767,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
34,brackets,11,sendinput,True,650,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
35,all-reserved,19,sendinput,True,677,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
36,moe-style,15,sendinput,True,550,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
37,plain-lower,10,sendinput,True,661,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
38,plain-mixed,10,sendinput,True,750,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
39,digits-symbols-ok,11,sendinput,True,643,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
40,plus,10,sendinput,True,656,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
41,caret,10,sendinput,True,567,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
42,percent,10,sendinput,True,666,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
43,tilde,10,sendinput,True,645,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
44,parens,11,sendinput,True,676,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
45,braces,11,sendinput,True,647,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
46,brackets,11,sendinput,True,673,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
47,all-reserved,19,sendinput,True,646,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
48,moe-style,15,sendinput,True,642,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
49,plain-lower,10,sendinput,True,666,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
50,plain-mixed,10,sendinput,True,644,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
