run,label,password_length,method,success,window_ready_ms,detail,machine,os
1,plain-lower,10,sendkeys,True,328,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
2,plain-mixed,10,sendkeys,True,353,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
3,digits-symbols-ok,11,sendkeys,False,322,"LEN_1_OF_11 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
4,plus,10,sendkeys,False,315,"LEN_9_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
5,caret,10,sendkeys,False,319,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
6,percent,10,sendkeys,False,326,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
7,tilde,10,sendkeys,False,321,"LEN_9_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
8,parens,11,sendkeys,False,329,"LEN_9_OF_11 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
9,braces,11,sendkeys,False,305,"SENDKEYS_THREW: ArgumentException: Keyword "2026" is not valid.",SABLE,"Microsoft Windows NT 10.0.26200.0"
10,brackets,11,sendkeys,False,321,"LEN_16_OF_11 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
11,all-reserved,19,sendkeys,False,316,"LEN_7_OF_19 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
12,moe-style,15,sendkeys,False,326,"LEN_14_OF_15 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
13,plain-lower,10,sendkeys,True,306,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
14,plain-mixed,10,sendkeys,True,229,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
15,digits-symbols-ok,11,sendkeys,True,336,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
16,plus,10,sendkeys,False,320,"LEN_9_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
17,caret,10,sendkeys,False,327,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
18,percent,10,sendkeys,False,325,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
19,tilde,10,sendkeys,False,326,"LEN_9_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
20,parens,11,sendkeys,False,327,"LEN_9_OF_11 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
21,braces,11,sendkeys,False,317,"SENDKEYS_THREW: ArgumentException: Keyword "2026" is not valid.",SABLE,"Microsoft Windows NT 10.0.26200.0"
22,brackets,11,sendkeys,False,337,"LEN_16_OF_11 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
23,all-reserved,19,sendkeys,False,315,"LEN_7_OF_19 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
24,moe-style,15,sendkeys,False,313,"LEN_14_OF_15 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
25,plain-lower,10,sendkeys,True,317,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
26,plain-mixed,10,sendkeys,True,312,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
27,digits-symbols-ok,11,sendkeys,True,319,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
28,plus,10,sendkeys,False,314,"LEN_9_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
29,caret,10,sendkeys,False,318,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
30,percent,10,sendkeys,False,305,"LEN_8_OF_10 - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
