run,label,password_length,method,success,window_ready_ms,detail,machine,os
1,google-signin,0,none,True,676,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
2,google-signin,0,none,True,646,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
3,google-signin,0,none,True,642,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
4,google-signin,0,none,True,653,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
5,google-signin,0,none,True,644,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
6,google-signin,0,none,True,631,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
7,google-signin,0,none,True,753,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
8,google-signin,0,none,True,662,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
9,google-signin,0,none,True,654,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
10,google-signin,0,none,True,760,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
11,google-signin,0,none,True,641,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
12,google-signin,0,none,True,735,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
13,google-signin,0,none,True,632,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
14,google-signin,0,none,True,767,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
15,google-signin,0,none,True,657,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
16,google-signin,0,none,True,724,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
17,google-signin,0,none,True,652,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
18,google-signin,0,none,True,747,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
19,google-signin,0,none,True,647,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
20,google-signin,0,none,True,655,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
21,google-signin,0,none,True,744,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
22,google-signin,0,none,True,635,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
23,google-signin,0,none,True,629,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
24,google-signin,0,none,True,659,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
25,google-signin,0,none,True,740,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
26,google-signin,0,none,True,740,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
27,google-signin,0,none,True,746,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
28,google-signin,0,none,True,725,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
29,google-signin,0,none,True,737,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
30,google-signin,0,none,True,759,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
31,google-signin,0,none,True,746,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
32,google-signin,0,none,True,631,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",SABLE,"Microsoft Windows NT 10.0.26200.0"
